parameter_name,Total protein
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_006_001
analysis_id,cofjhdz8n9v51o3
gene_symbol,Frmpd1
mouse_strain,C57BL
pvalue,0.3755022
gene_accession_id,MGI:2446274
