parameter_name,Time mobile light side
pvalue,0.05422745
parameter_id,JAX_LDT_003_001
analysis_id,4qx50y59mex532y
gene_accession_id,MGI:1921802
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Nipal3
