parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1338032
analysis_id,94h6v19842d8rew
gene_symbol,Sema6c
pvalue,0.1125952
mouse_strain,C57BL
