gene_symbol,Dhdds
mouse_life_stage,Early adult
parameter_name,Lower teeth appearance
analysis_id,4m5r76f85q5pjbo
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:1914672
pvalue,0.7873385
