analysis_id,kn419q13s81x0r2
parameter_name,Light side time spent
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
gene_symbol,Golm2
parameter_id,JAX_LDT_002_001
pvalue,0.4040893
mouse_strain,C57BL
