gene_symbol,Ppm1j
mouse_strain,C57BL
analysis_id,yc5hurv815853x2
gene_accession_id,MGI:1919137
pvalue,0.785873
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
parameter_name,Snout size
