analysis_id,25gqu5125t2xqq4
gene_symbol,Lurap1
mouse_life_stage,Early adult
parameter_id,JAX_LDT_003_001
parameter_name,Time mobile light side
mouse_strain,C57BL
gene_accession_id,MGI:1915325
pvalue,0.6563011
