analysis_id,22y011rhaq2x907
gene_symbol,Clvs1
pvalue,0.1106254
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
parameter_name,Neutrophil cell count
