gene_symbol,Bach2
parameter_id,IMPC_HEM_039_001
mouse_life_stage,Early adult
parameter_name,Large Unstained Cell (LUC) count
pvalue,0.06112181
mouse_strain,C57BL
analysis_id,037c221r834h4py
gene_accession_id,MGI:894679
