parameter_name,Hindlimb nail - number
parameter_id,IMPC_CSD_051_002
mouse_strain,C57BL
gene_accession_id,MGI:88174
pvalue,0.0768596
gene_symbol,Bmi1
analysis_id,w089ot357052c0v
mouse_life_stage,E12.5
