analysis_id,51l38qn62w13zk0
gene_accession_id,MGI:1914583
pvalue,0.7564305
gene_symbol,Stk35
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HRWLLA_CSD_008_001
