parameter_id,MGP_MLN_001_001
pvalue,0.9149812
analysis_id,n8r06tz99u04cay
gene_accession_id,MGI:3588214
mouse_life_stage,Early adult
gene_symbol,Rufy4
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
