analysis_id,f9q648106m144g2
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_name,Distance travelled - total
pvalue,0.7698001
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_id,JAXLA_OFD_020_001
