parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:1914309
gene_symbol,Ola1
parameter_name,Total cholesterol
mouse_life_stage,E18.5
analysis_id,7vci78kcssxx27b
pvalue,0.8872464
mouse_strain,C57BL
