parameter_name,Fat/Body weight
gene_symbol,Cldn19
gene_accession_id,MGI:3033992
parameter_id,JAXLA_DXA_009_001
analysis_id,9q6733y130h856o
pvalue,0.4047236
mouse_strain,C57BL
mouse_life_stage,Early adult
