parameter_name,Total cholesterol
mouse_strain,C57BL
analysis_id,752g5917n9b5179
gene_accession_id,MGI:3046938
parameter_id,JAXLA_CBC_015_001
pvalue,0.3679804
mouse_life_stage,Early adult
gene_symbol,Hrnr
