analysis_id,8i5q2k839eepy1l
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:1345282
mouse_strain,C57BL
pvalue,0.343534
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
parameter_name,Total cholesterol
