analysis_id,54v6526i25k1d05
parameter_name,Midbrain
gene_symbol,Cds2
pvalue,0.2927266
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1332236
