parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1923029
mouse_strain,C57BL
gene_symbol,Dnaaf9
parameter_name,BMC/Body weight
analysis_id,7n9l31c68xnr24q
pvalue,0.9924885
mouse_life_stage,Early adult
