analysis_id,8mhb01647t31966
parameter_name,BMC/Body weight
gene_accession_id,MGI:1918025
mouse_life_stage,Early adult
gene_symbol,Zmynd8
mouse_strain,129SV
parameter_id,HRWLLA_DXA_007_001
pvalue,0.3368153
