analysis_id,d51876914c009u9
mouse_strain,C57BL
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
pvalue,0.4848662
parameter_id,MGP_IMM_017_001
