analysis_id,h3b32h2o62rol9k
gene_symbol,Atf3
parameter_id,IMPC_CSD_070_001
pvalue,0.6705714
mouse_strain,C57BL
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
parameter_name,Lower teeth appearance
