analysis_id,3rlzwr22p364x6d
mouse_life_stage,Early adult
gene_accession_id,MGI:2140475
pvalue,0.9038343
parameter_name,Edema
parameter_id,IMPC_GEO_064_001
gene_symbol,AU040320
mouse_strain,C57BL
