analysis_id,u3oml8y5cj8362i
parameter_id,IMPC_ECG_004_001
pvalue,0.8722037
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
gene_symbol,Cntfr
mouse_strain,C57BL
parameter_name,RR
