gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Placenta Size
analysis_id,95vo81zwt8mnbw0
mouse_life_stage,Late adult
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
pvalue,0.3372905
