parameter_name,Clavicle
pvalue,0.8804132
gene_accession_id,MGI:1921688
analysis_id,5m4oz9qdrbf1kv2
mouse_strain,C57BL
gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_007_001
