gene_symbol,Sla2
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
mouse_life_stage,Early adult
pvalue,0.4949343
gene_accession_id,MGI:1925049
mouse_strain,C57BL
analysis_id,7e6cf6yv6276p6t
