parameter_name,Periphery distance travelled
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
gene_accession_id,MGI:1923959
pvalue,0.354791
gene_symbol,Arpc2
analysis_id,022u5g4qm86o6zd
mouse_life_stage,Early adult
