analysis_id,51t2ew4oqhsu68n
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
parameter_id,HRWLLA_DXA_007_001
parameter_name,BMC/Body weight
gene_accession_id,MGI:1336200
pvalue,0.4938578
mouse_strain,C57BL
