analysis_id,6n04on5djzj07a2
pvalue,0.7564502
parameter_name,White blood cell-count
gene_symbol,Morn5
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
