parameter_name,Neutrophil cell count
mouse_life_stage,E9.5
parameter_id,IMPC_HEM_030_001
analysis_id,soq3ql71yrn802q
pvalue,1.445139
gene_accession_id,MGI:1914071
mouse_strain,C57BL
gene_symbol,Bcs1l
