gene_symbol,Eprs1
parameter_name,Edema
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:97838
analysis_id,447i6w881bn3dil
pvalue,0.783842
parameter_id,IMPC_GEO_064_001
