parameter_id,HRWLLA_CBC_014_001
pvalue,0.2466564
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Alkaline phosphatase
analysis_id,57vi861onoy58si
