mouse_life_stage,Late adult
analysis_id,hjnsqt876a8469e
pvalue,0.7481769
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_027_001
gene_accession_id,MGI:2446274
