parameter_name,Gait
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
pvalue,0.5645968
parameter_id,IMPC_CSD_033_001
gene_symbol,Zfp683
mouse_strain,C57BL
analysis_id,8nn481ldgme0yk0
