analysis_id,7y3ma7y5v3qywxf
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
pvalue,0.4580945
gene_symbol,Mov10
gene_accession_id,MGI:97054
mouse_strain,C57BL
