analysis_id,s8553a06ij9s3k7
parameter_id,IMPC_FEA_106_001
pvalue,0.9366628
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
