mouse_strain,C57BL
pvalue,0.1635875
parameter_name,Embryo Size
parameter_id,IMPC_GEL_032_001
analysis_id,gm2c0hgayh9193o
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
gene_symbol,Hpca
