pvalue,1.332268e-15
parameter_name,DN CD44+CD62L+ NKT cells
mouse_strain,C57BL
analysis_id,83qr8nj3klv7i5a
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
gene_symbol,Bach2
