analysis_id,0hh6vhz5a6z3es6
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.1126526
gene_accession_id,MGI:2446274
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Early adult
