analysis_id,1g8t658wi0k4824
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
pvalue,0.2641679
gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,Embryo turning
