analysis_id,8h4d8eo2d26ul41
mouse_life_stage,E9.5
pvalue,0.2854028
gene_symbol,Dmap1
parameter_name,Periphery - Permanence Time
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1913483
mouse_strain,C57BL
