mouse_life_stage,Middle aged adult
analysis_id,ok75cn2v2iwr9co
mouse_strain,C57BL
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.8911992
parameter_id,HRWLLA_OFD_017_001
parameter_name,Center average speed
