analysis_id,4g5fp6817vdcc57
parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:2685266
mouse_strain,C57BL
parameter_name,Edema
pvalue,0.6904837
mouse_life_stage,Early adult
gene_symbol,Pglyrp3
