gene_symbol,Cdin1
mouse_strain,C56BL
pvalue,0.6852198
parameter_name,CD4+ KLRG1+ alpha beta T cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_032_001
analysis_id,n0zo534v7938m0q
gene_accession_id,MGI:3026886
