parameter_name,HDL-cholesterol
pvalue,0.9547496
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
parameter_id,IMPC_CBC_016_001
gene_symbol,Sprr1b
analysis_id,y89rv82j7a8hmr8
mouse_strain,C57BL
