parameter_name,Percentage center time
mouse_strain,C57BL
gene_symbol,Trdmt1
pvalue,0.5921647
gene_accession_id,MGI:1274787
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
analysis_id,a0rruou09h4wek3
