gene_symbol,Trdmt1
pvalue,0.7404614
parameter_id,MGP_PBI_004_001
gene_accession_id,MGI:1274787
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
analysis_id,6f429141x7tpl9c
