analysis_id,0v8g8px04i3of42
parameter_id,MGP_IMM_100_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88380
gene_symbol,F2
parameter_name,Resting NK cells - % of CD45+
mouse_strain,C57BL
pvalue,0.6481431
