parameter_name,Total cholesterol
parameter_id,JAXLA_CBC_015_001
analysis_id,7qf8nj3to03wl79
mouse_strain,C57BL
pvalue,0.528292
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
gene_symbol,Exd1
