analysis_id,w7ly7t791k99ma0
pvalue,0.9246738
parameter_id,MGP_MLN_001_001
mouse_strain,C57BL
gene_symbol,Fgb
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:99501
