gene_symbol,Mov10
mouse_strain,C57BL
pvalue,0.2269527
gene_accession_id,MGI:97054
analysis_id,6672b7oz44230py
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
mouse_life_stage,Early adult
