gene_symbol,Ufc1
gene_accession_id,MGI:1913405
parameter_id,JAXLA_DXA_007_001
pvalue,0.6107113
analysis_id,js95x2d25ww9rx8
parameter_name,BMC/Body weight
mouse_life_stage,Early adult
mouse_strain,C57BL
