analysis_id,5q04vj50gu0v1a1
parameter_id,IMPC_DXA_004_001
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.1441705
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
