gene_symbol,Cisd2
parameter_name,B Cells
analysis_id,jxfm41676734269
pvalue,0.7311002
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914256
parameter_id,IMPC_IMM_063_001
