parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
pvalue,0.3363921
mouse_strain,C57BL
gene_symbol,Pglyrp3
parameter_name,Placenta Size
analysis_id,6aiyd275ec2imll
gene_accession_id,MGI:2685266
