gene_symbol,Cpa3
parameter_name,Eyelid morphology
pvalue,1.44381
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
analysis_id,33mn709e3c5kvza
parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
