gene_symbol,Casq1
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
pvalue,0.363362
parameter_name,center - resting time
gene_accession_id,MGI:1309468
analysis_id,4363aw73r4dd1jn
mouse_strain,C57BL
