analysis_id,ygm699cba2472e0
parameter_name,PP1 startle magnitude
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.185894
