gene_symbol,Snrpb2
pvalue,0.6658771
analysis_id,v0207bi3tj87ch5
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_006_001
gene_accession_id,MGI:104805
mouse_strain,C57BL
