gene_symbol,Tnni1
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:105073
pvalue,0.305542
mouse_strain,C57BL
parameter_id,MGP_MLN_071_001
analysis_id,73v92x89dny771l
mouse_life_stage,Early adult
