analysis_id,y8fm6p6g2xz5hdw
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Mean platelet volume
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
parameter_id,IMPC_HEM_019_001
pvalue,0.4149474
