parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3995946
parameter_id,M-G-P_007_001_008
gene_accession_id,MGI:1341628
analysis_id,940r4egu6eor1kw
gene_symbol,Atrn
