parameter_name,Fasted blood glucose concentration
analysis_id,y6f903v92o8q05l
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
pvalue,0.4994965
gene_accession_id,MGI:1917604
